book_BookID,book_Title,book_PublisherName
1,The Name of the Wind,DAW Books
2,It,Viking
3,The Green Mile,Signet Books
4,Dune,Chilton Books
5,The Hobbit,George Allen & Unwin
6,Eragon,Alfred A. Knopf
7,A Wise Mans Fear,DAW Books
8,Harry Potter and the Philosophers Stone,Bloomsbury
9,Hard Boiled Wonderland and The End of the World,Shinchosa
10,The Giving Tree,Harper and Row
11,The Hitchhikers Guide to the Galaxy,Pan Books
12,Brave New World,Chalto & Windus
13,The Princess Bride,Harcourt Brace Jovanovich
14,Fight Club,W.W. Norton
15,Holes,Scholastic
16,Harry Potter and the Chamber of Secrets,Bloomsbury
17,Harry Potter and the Prisoner of Azkaban,Bloomsbury
18,The Fellowship of the Ring,George Allen & Unwin
19,A Game of Thrones,Bantam
20,The Lost Tribe,Picador USA
