publisher_PublisherName,publisher_PublisherAddress,publisher_PublisherPhone
DAW Books,"375 Hudson Street, New York, NY 10014",212-366-2000
Viking,"375 Hudson Street, New York, NY 10014",212-366-2000
Signet Books,"375 Hudson Street, New York, NY 10014",212-366-2000
Chilton Books,Not Available,Not Available
George Allen & Unwin,"83 Alexander Ln, Crows Nest NSW 2065, Australia",-8466
Alfred A. Knopf,"The Knopf Doubleday Group Domestic Rights, 1745 Broadway, New York, NY 10019",212-940-7390
Bloomsbury,"Bloomsbury Publishing Inc., 1385 Broadway, 5th Floor, New York, NY 10018",212-419-5300
Shinchosa,"Oga Bldg. 8, 2-5-4 Sarugaku-cho, Chiyoda-ku, Tokyo 101-0064 Japan",-12006
Harper and Row,"HarperCollins Publishers, 195 Broadway, New York, NY 10007",212-207-7000
Pan Books,"175 Fifth Avenue, New York, NY 10010",646-307-5745
Chalto & Windus,"375 Hudson Street, New York, NY 10014",212-366-2000
Harcourt Brace Jovanovich,"3 Park Ave, New York, NY 10016",212-420-5800
W.W. Norton,"W. W. Norton & Company, Inc., 500 Fifth Avenue, New York, New York 10110",212-354-5500
Scholastic,"557 Broadway, New York, NY 10012",800-724-6527
Bantam,"375 Hudson Street, New York, NY 10014",212-366-2000
Picador USA,"175 Fifth Avenue, New York, NY 10010",646-307-5745
